COMPANY,GROWTH,DATE,VALUATION,FUNDING,LOCATION,MARKET
Google,12%,1998,1.2E+12,36100000,"Mountain View, United States",Search engine
Meta (formerly Facebook),-21%,2004,4.553E+11,2100000000,"Menlo Park, United States",Multi-platform
Tencent,-,1998,4.533E+11,32400000,"Shenzhen, China",Multi-platform
ByteDance,35%,2012,3E+11,4200000000,"Beijing, China",Content creation
Comcast,0%,1963,2.613E+11,#N/A,"Philadelphia, United States",Broadcast/streaming/video
Prosus,1%,2019,2.607E+11,#N/A,"Amsterdam, Netherlands",Finance
The Walt Disney Company,-,1923,2.468E+11,#N/A,"Burbank, United States",Broadcast/streaming/video
Kuaishou,26%,2011,2.14E+11,5400000000,"Beijing, China",Social network
SoftBank,9%,1981,1.726E+11,#N/A,"Tokyo, Japan",Technology products
Netflix,-,1997,1.695E+11,103000000,"Los Gatos, United States",Broadcast/streaming/video
Emerson Electric,1%,1890,53100000000,#N/A,"St. Louis, United States",Technology products
Autodesk,0%,1982,49200000000,#N/A,"San Rafael, United States",Design software
NXP Semiconductors,-,1953,48400000000,600000,"Eindhoven, Netherlands",Technology products
Recruit Holdings,26%,1960,48000000000,#N/A,"Chiyoda, Japan",Human resources
NetEase,11%,1997,47300000000,#N/A,"Hangzhou, China",Gaming
Twitter,-13%,2006,41700000000,760000000,"San Francisco, United States",Social network
Canva,53%,2012,40000000000,569000000,"Surry Hills, Australia",Design software
Baidu,3%,1999,39700000000,111000000,"Beijing, China",Search engine
Sky,4%,1989,39000000000,#N/A,"London, United Kingdom",Broadcast/streaming/video
Altice Europe,1%,2001,#N/A,#N/A,"Amsterdam, Netherlands",Telecommunications
"Sirius XM Radio, Inc.",8%,1990,32900000000,#N/A,"New York City, United States",Radio
Monster Digital,13%,2010,#N/A,7200000,"Simi Valley, United States",Technology products
Dish Network,14%,1980,29300000000,#N/A,"Englewood, United States",Broadcast/streaming/video
Hulu,-5%,2007,27500000000,683000000,"Santa Monica, United States",Broadcast/streaming/video
Yandex,13%,1997,27000000000,5300000,"Adler, Russia",Multi-platform
LaLiga,-,1929,26700000000,3000000000,"Madrid, Spain",Sports
Evolution Gaming,-,2006,26700000000,#N/A,"Birkirkara, Malta",Gaming
LinkedIn,29%,2003,26200000000,124000000,"Mountain View, United States",Human resources
Naver,12%,1999,25900000000,#N/A,"Seongnam-si, South Korea",Search engine
Canon Inc,-17%,1937,23000000000,#N/A,"Chiyoda, Japan",Technology products
Eastmoney,9%,2007,22600000000,#N/A,"Shanghai, China",Finance
Fox Corporation,52%,2019,21200000000,#N/A,"New York City, United States",Broadcast/streaming/video
Kakao,10%,2010,20900000000,#N/A,South Korea,Social network
Xiaohongshu,46%,2013,20000000000,981000000,"Shanghai, China",Multi-platform
Toutiao,14%,2012,20000000000,3100000000,"Beijing, China",Data analytics
Zoom Video Communications,10%,2011,17800000000,149000000,"San Jose, United States",Social network
Viacom,-,1971,#N/A,#N/A,"New York City, United States",Broadcast/streaming/video
Spotify,9%,2006,17300000000,1600000000,"Stockholm, Sweden",Music
Snap Inc.,9%,2011,16600000000,2600000000,"Santa Monica, United States",Social network
Unity Technologies,-,2004,16400000000,894000000,"San Francisco, United States",Gaming
Dai-ichi Life Insurance,14%,1902,16200000000,#N/A,"Tokyo, Japan",Finance
Pinterest,26%,2009,15300000000,1500000000,"San Francisco, United States",Social network
Discord,55%,2015,15000000000,979000000,"San Francisco, United States",Gaming
DJI Innovations,26%,2006,15000000000,105000000,"Shenzhen, China",Technology products
Scripps Networks Interactive,-,1994,14600000000,#N/A,"Knoxville, United States",Broadcast/streaming/video
News Corp,-6%,2013,14200000000,12500000,"New York City, United States",News
iQiyi,3%,2010,13500000000,2000000000,"Beijing, China",Broadcast/streaming/video
OpenSea,92%,2018,13300000000,427000000,"San Francisco, United States",marketplace
Exor,26%,1927,13100000000,#N/A,"Amsterdam, Netherlands",Finance
Vivendi,4%,1981,12700000000,#N/A,"Paris, France",Multi-platform
OpenText,1%,1991,11700000000,#N/A,"Waterloo, Canada",Data analytics
Interpublic Group,115%,1902,#N/A,#N/A,"New York City, United States",Advertising/marketing
Maxscend Technologies,8%,2006,10100000000,11000000,"Shanghai, China",Technology products
Yaskawa Electric Corporation,18%,2003,10100000000,#N/A,Japan,Technology products
Quality Technology Services,4%,2005,10000000000,25000000,"Overland Park, United States",Technology products
Reddit,8%,2005,10000000000,1200000000,"San Francisco, United States",Social network
Valve,16%,1996,10000000000,#N/A,"Bellevue, United States",Gaming
Pearson,-,1844,10000000000,#N/A,"London, United Kingdom",Education
Cineworld PLC,17%,1995,9500000000,#N/A,"London, United Kingdom",Entertainment physical
Suddenlink Communications,-,2003,9100000000,#N/A,United States,Technology products
Bilibili,58%,2009,8900000000,512000000,"Shanghai, China",Gaming
Pandora,-,2000,8700000000,56300000,"Oakland, United States",Radio
Metro Goldwyn Mayer (MGM) Studios,5%,1924,8500000000,#N/A,"Beverly Hills, United States",Film/TV production
Dolby,2%,1965,7600000000,#N/A,"San Francisco, United States",Technology products
Tegna,2%,,7600000000,#N/A,"McLean, United States",Advertising/marketing
ZeniMax,15%,1999,7500000000,337000000,"Rockville, United States",Gaming
Groupe SEB,6%,1857,7400000000,#N/A,"Écully, France",Technology products
SES Satellites,1%,1985,7400000000,#N/A,"Berg, Luxembourg",Technology products
RTL Group,18%,2000,7200000000,#N/A,"Luxembourg, Luxembourg",Multi-platform
Yealink,21%,2001,6900000000,#N/A,"Beijing, China",Telecommunications
Unipol Group,13%,1962,6800000000,#N/A,"Bologna, Italy",Finance
Qurate,29%,1994,6700000000,#N/A,"Englewood, United States",Finance
Sky Deutschland,-,1991,6600000000,#N/A,"Unterföhring, Germany",Broadcast/streaming/video
Tribune Media,-5%,1965,6400000000,#N/A,"Chicago, United States",Broadcast/streaming/video
William Morris Endeavor,25%,2009,6300000000,1400000000,"Beverly Hills, United States",Artist agency
Roku,20%,2002,6200000000,248000000,"San Jose, United States",Broadcast/streaming/video
Markit,-,2003,6000000000,250000000,"London, United Kingdom",Data analytics
VICE Media,-2%,1994,5700000000,1100000000,"New York City, United States",Multi-platform
Kakao Japan,-,2011,5700000000,620000000,"Minato, Japan",Telecommunications
InterActiveCorp,0%,1995,5700000000,#N/A,"New York City, United States",Multi-platform
Wanda Cinema Line Corp.,-,,5600000000,#N/A,"Beijing, China",Entertainment physical
NYTimes,-,1851,5500000000,#N/A,"New York City, United States",News
The New York Times,27%,1851,5500000000,#N/A,"New York City, United States",News
Sprout Social,15%,2010,5400000000,102000000,"Chicago, United States",Data analytics
Aegon Nederland N.V,-4%,1983,5400000000,#N/A,"The Hague, Netherlands",Finance
Sinclair Broadcast Group,6%,1986,5400000000,#N/A,"Cockeysville, United States",Broadcast/streaming/video
Ricoh,6%,1962,5300000000,#N/A,"Braine-le-Château, Belgium",Technology products
SeaWorld Parks & Entertainment,6%,2009,5000000000,#N/A,"Orlando , United States",Entertainment physical
Dailyhunt (Verse Innovation),13%,2007,5000000000,1600000000,"Bengaluru, India",Multi-platform
ShareChat,53%,2015,5000000000,1500000000,"Bengaluru, India",Social network
Getty Images,0%,1995,4800000000,750000000,"Chicago, United States",Search engine
Telegram,73%,2013,4800000000,150000000,"Dubai, United Arab Emirates",Social network
The E.W. Scripps Company,3%,1878,4700000000,#N/A,"Cincinnati, United States",Multi-platform
Harvey Electronics,-,1946,4700000000,4000000,"Lyndhurst, United States",Technology products
Cinemark USA,3%,1984,4600000000,#N/A,"Dallas, United States",Entertainment physical
Zomato,10%,2008,4600000000,2500000000,"Gurugram, India",marketplace
Denver Broncos,16%,1960,4500000000,#N/A,"Englewood, United States",News
Acquire,-,2006,4500000000,#N/A,"Sunnyvale, United States",News
McGraw-Hill,0%,1888,4500000000,#N/A,"New York City, United States",Education
DoubleVerify,21%,2008,4500000000,397000000,"New York City, United States",Advertising/marketing
J2 Global,-20%,1995,4400000000,#N/A,"Los Angeles, United States",Telecommunications
ProSiebenSat1 Media SE,3%,1989,4300000000,#N/A,"Munich, Germany",Multi-platform
Havas Group,4%,1835,4200000000,#N/A,"Puteaux, France",Advertising/marketing
Square Enix,-1%,1989,4200000000,#N/A,"London, United Kingdom",Gaming
CMC,4%,2010,4100000000,1400000000,"Shanghai, China",finance
China Literature,10%,2015,4100000000,#N/A,"Beijing, China",Literature
Yuga Labs,925%,2021,4000000000,450000000,"Coral Gables, United States",NFTs
Clubhouse,161%,2020,4000000000,112000000,"San Francisco, United States",Social network
Skydance Media,9%,2010,4000000000,675000000,"Santa Monica, United States",Film/TV production
Patreon,22%,2013,4000000000,352000000,"San Francisco, United States",Social network
Webflow,75%,2012,4000000000,335000000,"San Francisco, United States",Design software
Yello Mobile,4%,2012,4000000000,223000000,"Seoul, South Korea",marketplace
Schibsted Media Group,2%,1839,4000000000,333000000,"Oslo, Norway",Multi-platform
IShares,-,2000,4000000000,#N/A,"San Francisco, United States",Finance
NOS Portugal,7%,1994,3900000000,#N/A,"Lisbon, Portugal",Telecommunications
Barnes & Noble,5%,1917,#N/A,#N/A,"New York City, United States",Literature
Emtek,-15%,1983,3700000000,273000000,"Jakarta, Indonesia",Broadcast/streaming/video
Whatnot,250%,2019,3700000000,484000000,"Marina del Rey, United States",marketplace
UnitedGlobalCom,-,2001,3700000000,#N/A,United States,Telecommunications
NetLogic Microsystems,0%,1995,3700000000,72000000,"Mountain View, United States",Technology products
Ziff Davis,-6%,1927,3700000000,#N/A,"New York City, United States",news
Six Flags,3%,1971,3700000000,#N/A,"Grand Prairie, United States",Entertainment physical
SSENSE,37%,2003,3700000000,#N/A,"Montreal, Canada",marketplace
Autograph,83%,2021,3700000000,205000000,"Santa Monica, United States",marketplace
CyberAgent,1%,1998,3600000000,#N/A,"Tokyo, Japan",Broadcast/streaming/video
Legendary Entertainment,0%,2004,3500000000,1600000000,"Burbank, United States",Film/TV production
Sogou,1%,2004,3500000000,448000000,"Beijing, China",Search engine
Columbia Pictures Entertainment,-,1924,3400000000,#N/A,"Culver City, United States",Film/TV production
Poly,3%,2019,3300000000,#N/A,"Santa Cruz, United States",Telecommunications
Polycom.com,-3%,1990,3300000000,#N/A,"San Jose, United States",Telecommunications
